program_name,url,overview,tuition,duration,location,deadline,admission_requirements,apply,curriculum,careers,contact,Col13,Col14
Finance Phd,https://graduate.gsu.edu/program/finance-phd,"Through Robinson’s Ph.D. in finance, you will be prepared for a successful career in academia, government institutions, or the private sector.
<br/><br/>
You will undertake a rigorous course of study based on economic and financial theory as well as applied methods. In addition to building the skills necessary for undertaking original research, you will develop collaborative relationships with leading research faculty in key areas of finance, including corporate finance, investments, and financial institutions. Recent graduates from the Ph.D. program typically have obtained placements at major U.S. research universities and teaching institutions.~","Students typically offset the cost of the program through an assistantship that includes full tuition waivers. Contact us for information on tuition and funding your doctoral studies.
<br/><br/>
Adenike Brewington, abrewington1@gsu.edu ~",The Finance Ph.D. program typically takes 5 years.,"Atlanta Campus, Buckhead Center (200 Tower Place)`","The Ph.D. program admits students once a year for the fall semester. We will begin accepting applications for fall 2022 on September 15, 2021. For fullest consideration, the application and all required materials should be submitted by January 10, 2022.~",https://graduate.gsu.edu/program/finance-phd,https://graduate.gsu.edu/program/finance-phd,https://graduate.gsu.edu/program/finance-phd,,"Hadiye Aslan<br/>
haslan@gsu.edu <br/>
404-413-7345
<br/><br/>
Adenike Brewington, associate director <br/>
abrewington1@gsu.edu <br/>
404-413-7070 ~",,Finance Phd
Fintech Innovation Graduate Certificate,https://graduate.gsu.edu/program/fintech-innovation-graduate-certificate,"Atlanta is the fintech capital of the world. Atlanta-based firms handle 70 percent of the credit, debit, and prepaid card sales in the nation, hence the city’s nickname, “Transaction Alley.” In the state of Georgia alone, more than 5,000 opportunities will emerge in this sector over the next few years. There is no faster, more affordable way to learn key fintech concepts than through the Certificate in Fintech Innovation at the Robinson College of Business.
<br/><br/>
The certificate will ground you with an understanding of the impact fintech technologies make on the financial services field. By the end, you will be able to tackle business problems with creative and innovative fintech-driven solutions.~","Georgia residents: $4,058 per semester <br/>
Non-Georgia residents: $8,912 per semester <br/>
Nonrefundable seat deposit: $250 <br/><br/>

Please note: the above tuition rates apply to new non-degree-seeking students. Current master's students who embed a certificate within their degree will be charged at a different rate. [See the Tuition tab on our Program Page](https://robinson.gsu.edu/program/fintech-innovation-graduate-certificate/).~","Two semesters. Two courses per semester.
<br/><br/>
All required classes to earn the graduate certificate can be completed online.~","Atlanta Campus, Online","Fall:
- Early Priority Scholarship Deadline: October 1
- Priority Scholarship Deadline II: December 1
- Priority Scholarship Deadline III: February 1
- International Student Deadline: April 1
- Final Deadline: June 1<br/><br/>
Spring:
- Early Priority Scholarship Deadline: September 1
- Priority Scholarship Deadline II: October 1
- International Student Deadline: November 1
- Final Deadline: December 1~",https://graduate.gsu.edu/program/fintech-innovation-graduate-certificate/#admissions-requirements,,https://graduate.gsu.edu/program/fintech-innovation-graduate-certificate/,,"Your recruiter is here to answer your questions and help you prepare a strong application. [Set up an appointment with your recruiter](https://go.oncehub.com/LindsayFortnerConsultation). <br/><br/> Lindsay Fortner, program recruiter <br/> lfortner@gsu.edu <br/> 404-413-7148~",,Fintech Innovation Graduate Certificate
Flexible Mba,https://graduate.gsu.edu/program/flexible-mba,"Robinson’s MBA is more popular and relevant than ever. Why? Our faculty hail from a variety of disciplines like computer science, engineering, and data science, enabling you to develop not just business acumen but also high-demand skills such as analytics consulting, digital transformation, and fintech.~","Georgia residents: $32,048-$35,868 <br/>
Non-Georgia residents: $67,668-$79,554 <br/><br/>

*Range based on full-time and average part-time courseload and fees. Tuition is subject to change.*~","Full-time format: 24 months (6 semesters). Offers a fast track into the workforce. <br/><br/>
Part-time format: Go at your own pace. Average 36 months (9 semesters). Up to 5 years permitted. Allows working professionals to advance their current careers. <br/><br/>
Classes: One day per week, offered Monday-Thursday, 4:30, 5:30 and 7:15 p.m.~","Atlanta Campus, Buckhead Center (200 Tower Place)","Fall:
- Early Priority Scholarship Deadline: October 1
- Priority Scholarship Deadline II: December 1
- Priority Scholarship Deadline III: February 1
- International Student Deadline: April 1
- Final Deadline: July 11<br/><br/>
Spring:
- Early Priority Scholarship Deadline: September 1
- Priority Scholarship Deadline II: October 1
- International Student Deadline: November 1
- Final Deadline: December 1<br/><br/>
Summer:
- Early Priority Scholarship Deadline: February 1
- International Student Deadline: February 1
- Final Deadline: April 1~",https://graduate.gsu.edu/program/flexible-mba/#admissions-requirements,https://robinson.gsu.edu/flexible-mba/flexmba-application-process/,https://graduate.gsu.edu/program/flexible-mba/,"Program graduates work for a variety of well-respected companies including The Coca-Cola Company, Deloitte, Delta Air Lines, LexisNexis, NCR, Georgia-Pacific, Grady Health System, The Home Depot, and KPMG. Our 2021 graduates reported a 32% average salary increase, enabling them to pay back their investment in graduate school within 2.2 years.~","Graduate Admissions: <br/>
rcbgradadmissions@gsu.edu",,Flexible Mba
"French, M.A.",https://graduate.gsu.edu/program/french-ma/,"The French M.A. program is in the heart of Atlanta, known for its vibrant Francophone cultures and home to several French companies. The program supports students’ professional and career needs through a distinctive modern and contemporary Francophone curriculum focused on business, intercultural, intercommunicative, humanitarian, literary and pedagogical domains.~",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,Minimum of 30 semester hours of graduate coursework must be completed. This typically takes four semesters or two years to accomplish.~,,"- Fall: July 1
- Spring: November 1
- Summer: March 1",https://graduate.gsu.edu/program/french-ma/#admissions-requirements,,https://graduate.gsu.edu/program/french-ma/,"The study of global languages focuses on learning about language, linguistics, literature and culture. The ability to speak another language fluently is an asset in today’s global economy. Employment opportunities exist in many career fields and graduates with a background in global languages give themselves a competitive edge in the job market.  Graduates in global languages pursue careers in business, education, government and the nonprofit sector, and some pursue advanced degrees.~","Graduate program information: <br> 
wlcgraduate@gsu.edu
<br><br>
French Program Chair <br>
Dr. Gladys M. Francis <br>
gfrancis5@gsu.edu~",,"French, M.A."
Gcert Instructional Design Technology,https://graduate.gsu.edu/program/gcert-instructional-design-technology,The online graduate certificate in instructional design and technology prepares you for jobs focusing on the creation of training and education materials. The four courses in the program (12 credit hours) are from the master of science curriculum of the same name. You can complete the graduate certificate to reach your career goals or move on to the full M.S. program.,Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,Minimum of 12 hours,"Online<br><br>

All required classes to earn a certificate can be completed online.

","- Fall: July 15
- Spring: October 15
- Summer: March 1",https://graduate.gsu.edu/program/gcert-instructional-design-technology,https://graduate.gsu.edu/program/gcert-instructional-design-technology,https://graduate.gsu.edu/program/gcert-instructional-design-technology,"The online program is for individuals interested in working in a variety of education, training and development areas, such as those found in business, industry, government agencies, military and nonprofit organizations.","Online Programs<br><br>

LaToya and Moisés<br>
Enrollment Coaches<br>
404-413-4393<br>
online@gsu.edu<br><br>
Admissions and Curriculum Inquiries<br><br>
Program Coordinator<br><br>
Mike Law<br>
mlaw@gsu.edu<br><br>

Learning Sciences<br><br>
DLSRecruitment@gsu.edu<br>
404-413-8040",,Gcert Instructional Design Technology
Gcert Nonprofit Management And Social Enterprise Gcert,https://graduate.gsu.edu/program/gcert-nonprofit-management-and-social-enterprise-gcert,"The certificate program in Nonprofit Management and Social Enterprise has two focuses. First, it will cover the skills in management, economic decision-making, marketing, fundraising and financial management that graduates can use (but which they are unlikely to get on the job) in any part of the nonprofit sector: social service provision, education, health, the arts, the environment, international relief or religion. Second, while most nonprofit management certificates have an exclusively practitioner focus, the Andrew Young School program will prepare students interested in pursuing nonprofit studies in graduate programs in public administration, policy analysis or economics.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,The certificate is a 12 credit hour program which can be completed in two semesters.,Atlanta Campus,"Fall:

- Early deadline: February 15
- Regular deadline: April 1
- Late deadline: June 1
Spring:

- Early deadline: October 1
- Late deadline: November 1
Summer: Does not admit",https://graduate.gsu.edu/program/gcert-nonprofit-management-and-social-enterprise-gcert,https://graduate.gsu.edu/program/gcert-nonprofit-management-and-social-enterprise-gcert,https://graduate.gsu.edu/program/gcert-nonprofit-management-and-social-enterprise-gcert,"Many professionals in the nonprofit sector, also known as the Third Sector, seek to improve their skills in ways not available through on-the-job training, such as those in strategic management, leadership theories and managerial economics.<br><br>

As the nonprofit sector professionalizes, there is increasing demand from employees in the sector for a credential that lies between in-house training programs and actual academic degrees.<br><br>

The Third Sector's rise in importance in local and national economies is indicative of a movement of labor out of government and the private sector and in to nonprofit organizations. Sector-changing employees provide a constant source of demand for the skills and credentials appropriate for such a switch.

","Public Management and Policy<br><br>
Phone: 404-413-0107<br>
Fax: 404-413-0104<br><br>
Program Director<br><br>
John O'Kane<br>
Email: jokane@gsu.edu<br><br>

Academic Assistance<br><br>
Email: AYSEnroll@gsu.edu<br>
Phone: 404-413-0021",,Gcert Nonprofit Management And Social Enterprise Gcert
Gcert Online Learning Design Development,https://graduate.gsu.edu/program/gcert-online-learning-design-development,"The curriculum is centered on the competencies required to design, develop, facilitate and manage e-Learning programs. If you already work in the field, you will put the concepts to work right away in your job. Through a combination of classroom and practical activities, this program provides participants with the opportunity to design, produce and evaluate eLearning activities that make effective use of best practices and industry standards of development.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,Minimum of 12 semester hours,"Online<br><br>

All required classes to earn a certificate can be completed online.","- Fall: July 15
- Spring: October 15
- Summer: March 1",https://graduate.gsu.edu/program/gcert-online-learning-design-development,https://graduate.gsu.edu/program/gcert-online-learning-design-development,https://graduate.gsu.edu/program/gcert-online-learning-design-development,"This online program is designed for individuals interested in working in a wide variety of education, training and development areas such as those found in business, industry, government agencies, the military and nonprofit organizations.","Online Programs<br><br>

LaToya and Moisés<br>
Enrollment Coaches<br>
404-413-4393<br>
online@gsu.edu<br><br>
Admissions and Curriculum Inquiries<br><br>
Program Coordinator<br><br>
Mike Law<br>
mlaw@gsu.edu<br><br>

Learning Sciences<br><br>
DLSRecruitment@gsu.edu<br>
404-413-8040",,Gcert Online Learning Design Development
"Geosciences, M.S., Geography Concentration",https://graduate.gsu.edu/program/geosciences-ms-geography-concentration/,"The Master of Science in Geosciences with a Geography concentration allow students to specialize in urban studies, geospatial technologies, or physical geography/environmental studies. Thesis and capstone tracks are available.~",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,36 credit hours are required.,,"- Fall: March 1
- Spring: October 1
- Summer: Does not admit",https://graduate.gsu.edu/program/geosciences-ms-geography-concentration/#admissions-requirements,,https://graduate.gsu.edu/program/geosciences-ms-geography-concentration/,"Our students are prepared to work in a variety of fields related to the geography specialty. They are also equipped to pursue doctoral studies. Our Geosciences graduates work in roles that include:
<br><br>
- Urban planners
- Geographic information scientists
- Community planners
- Environmental researchers
- Environmental consultants
- Climatologists~","Department of Geosciences <br>
38 Peachtree Center Avenue <br>
Langdale Hall, Suite 730 <br>
Atlanta, GA 30303
<br><br>
Phone: 404-413-5750 <br>
Fax: 404-413-5768 <br>
Email: geosciences@gsu.edu~",,"Geosciences, M.S., Geography Concentration"
"Geosciences, M.S., Geology Concentration",https://graduate.gsu.edu/program/geosciences-ms-geology-concentration/,"The Master of Science (M.S.) degree program with a Geology concentration offers a broad range of courses that prepare students for research and professional careers. Thesis and capstone option programs are offered. Research efforts are in the following broad areas: geochemistry (analytical, aqueous, environmental, igneous, metamorphic and sedimentary), mineralogy, hydrogeology, petrology, sedimentology, structural geology and geoinformatics.~",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,36 credit hours are required.,Atlanta Campus,"- Fall: March 1
- Spring: October 1
- Summer: Does not admit",https://graduate.gsu.edu/program/geosciences-ms-geology-concentration/#admissions-requirements,,https://graduate.gsu.edu/program/geosciences-ms-geology-concentration/,"Students who pursue the Geology concentration find employment in environmental consulting, mining and energy resource industries, state and federal agencies, non-governmental organizations, and related opportunities that utilize foundational skills and knowledge in geology.~","Department of Geosciences <br>
38 Peachtree Center Avenue <br>
Langdale Hall, Suite 730 <br>
Atlanta, GA 30303
<br><br>
Phone: 404-413-5750 <br>
Fax: 404-413-5768 <br>
Email: geosciences@gsu.edu~",,"Geosciences, M.S., Geology Concentration"
"Geosciences, M.S., Water Sciences Concentration",https://graduate.gsu.edu/program/geosciences-ms-water-sciences-concentration/,"Employers in the public sector and private industry are hungry for people who understand aquatic systems. The M.S. degree program with a Water Sciences concentration provides students with a knowledge of the quality and quantity of water in the environment and modern techniques to assess, model and remediate aquatic environmental problems. Students can choose a thesis or capstone option.~",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,36 credit hours are required.,,"- Fall: March 1
- Spring: October 1
- Summer: Does not admit",https://graduate.gsu.edu/program/geosciences-ms-water-sciences-concentration/#admissions-requirements,,https://graduate.gsu.edu/program/geosciences-ms-water-sciences-concentration/,"Our program's students are prepared to work in a variety of water-related fields. They are also equipped to pursue doctoral studies. Our graduates work as:
<br><br>
- Hydrologists
- Environmental researchers
- Environmental consultants
- Climatologists
- Urban planners
- Geographic information scientists
- Professional geologists
- Community planners~","Department of Geosciences <br>
38 Peachtree Center Avenue <br>
Langdale Hall, Suite 730 <br>
Atlanta, GA 30303
<br><br>
Phone: 404-413-5750 <br>
Fax: 404-413-5768 <br>
Email: geosciences@gsu.edu~",,"Geosciences, M.S., Water Sciences Concentration"
"Gerontology, Graduate Certificate",https://graduate.gsu.edu/program/gerontology-graduate-certificate/,"The Gerontology Graduate Certificate is designed for people who are preparing for careers in the aging field and for professionals already working in areas such as health care, social services, recreation and leisure, government and business.~",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,Typically one year. The program requires 18 credit hours.,,"- Fall: July 1
- Spring: November 15
- Summer: Does Not Admit",https://graduate.gsu.edu/program/gerontology-graduate-certificate/#admissions-requirements,,https://graduate.gsu.edu/program/gerontology-graduate-certificate/,"More than half of our graduates work in a non-profit or governmental agency. About one-fifth work for small private businesses.
<br><br>
At least half of our Graduate Certificate students earn other advanced degrees at Georgia State. Most of them go on to become university professors or researchers for agencies such as the Centers for Disease Control and Prevention, and Research Triangle Institute International.~","Gerontology Institute Director: <br>
Elisabeth Burgess <br>
eburgess @gsu.edu
<br><br>
Director of Graduate Studies: <br>
Wendy Simonds <br>
wsimonds@gsu.edu~",,"Gerontology, Graduate Certificate"
"Gerontology, M.A.",https://graduate.gsu.edu/program/gerontology-ma/,The Master of Arts (M.A.) in Gerontology program is designed for students preparing for leadership positions in the field of aging and those interested in becoming gerontological researchers.~,Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,"Typically, two years. The program requires 36 credit hours.",,"Fall <br><br>
Priority Deadline: March 1 (for those who wish to be considered for Graduate Assistantships) <br>
All Other Applications: April 1 <br><br>
Spring: Does not admit <br>
Summer: Does not admit~",https://graduate.gsu.edu/program/gerontology-ma/#admissions-requirements,,https://graduate.gsu.edu/program/gerontology-ma/,"The M.A. in Gerontology leads to stable employment for our graduates, who go on to work in aging services or other professions that serve the needs of older adults. Career opportunities are projected to expand as the population in the United States continues to age in coming decades.
<br><br>
More than half of our graduates work in a non-profit or governmental agency, about one-fifth work for small private businesses.~","Gerontology Institute Director <br>
Jennifer Craft Morgan <br>
jmorgan39@gsu.edu
<br><br>
Director of Graduate Studies <br>
Wendy Simonds <br>
wsimonds@gsu.edu~",,"Gerontology, M.A."
"Graphic Design, M.F.A.",https://graduate.gsu.edu/program/graphic-design-mfa/,"The Design M.F.A. program is for focused, motivated, experienced designers who want to introduce a multidisciplinary perspective to their work by collaborating with graphic designers, interior designers, fine artists, art historians and those from other related disciplines.~",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,72 semester hours of graduate coursework must be completed,,"- Fall: February 1
- Spring: Does not admit
- Summer: Does not admit",https://graduate.gsu.edu/program/graphic-design-mfa/#admissions-requirements,,https://graduate.gsu.edu/program/graphic-design-mfa/,"The graduate program leads students to career paths such as graphic, interior and Web designers, multimedia artists, curators, gallery directors, museum and non-profit arts managers, art administrators, K-12 art teachers, art educators, art historians and writers, creative directors at advertising and marketing firms, props and set design fabricators, and art appraisers, among others.~","Graduate Coordinator <br>
Wesley Harvey <br>
wharvey@gsu.edu~",,"Graphic Design, M.F.A."
Health Administration Ms,https://graduate.gsu.edu/program/health-administration-ms,"The Robinson College of Business has been helping current and future healthcare administrators develop a strategic approach to the healthcare industry since 1961. The curriculum provides the depth and breadth needed to succeed in multiple healthcare sectors such as health management, leadership, data analytics, health informatics, and finance. ~","Georgia residents: $41,100 <br/>
Non-Georgia residents: $47,000 <br/>
Nonrefundable seat deposit: $250 <br/><br/>

*Tuition is subject to change.*",Students join a cohort and complete the program in 16 months. Evening courses allow professionals to advance their current careers.~,Buckhead Center (200 Tower Place),"- Early Priority Scholarship Deadline: September 1
- Priority Scholarship Deadline II: October 1
- International Student Deadline: November 1
- Final Deadline: December 1~",https://graduate.gsu.edu/program/health-administration-ms/#admissions-requirements,https://robinson.gsu.edu/masters-programs/health-administration-ms-application-process/,https://graduate.gsu.edu/program/health-administration-ms/,"Program graduates work for a variety of well-respected organizations including Children’s Hospital of Atlanta, Emory Healthcare, Grady Health System, Kaiser Permanente, Northside Hospital, Piedmont Healthcare, and WellStar Atlanta Medical Center. Our 2020 graduates reported a 22.2% average salary increase, enabling them to pay back their investment in graduate school within 3.7 years. One hundred percent of them secured employment within 3 months of graduation.~","Graduate Admissions: <br/>
rcbgradadmissions@gsu.edu",,Health Administration Ms
"Health and Physical Education, M.A.T.",https://graduate.gsu.edu/program/mat-health-physical-education/,"If you're looking to teach in health and physical education from pre-kindergarten through 12th grade settings, our master of arts in teaching in health and physical education is designed for you.~",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,"A minimum of 36 hours is required for this degree. Because of Georgia Professional Standards Commission content requirements, students may need to complete additional coursework.~",Atlanta Campus,"- Fall: July 1
- Spring: October 15
- Summer: March 1",https://graduate.gsu.edu/program/mat-health-physical-education/#admissions-requirements,,https://graduate.gsu.edu/program/mat-health-physical-education/,"Graduates from this program have begun careers in local school districts. School districts employing recent program graduates include:
<br><br>
- Atlanta Public Schools
- Cobb County School District
- DeKalb County School District
- Fulton County Schools
- Gwinnett County Public Schools","Program Coordinator <br>
Rachel Gurvitch, Ed.D. <br>
rgurvitch@gsu.edu <br>
404-413-8374
<br><br>
Kinesiology and Health <br>
KHAmbassador@gsu.edu <br>
404-413-8050~",,"Health and Physical Education, M.A.T."
Health Informatics Gcert,https://graduate.gsu.edu/program/health-informatics-gcert,"Health informatics brings together the design, development and adoption of information technology-based innovations in health care delivery, management and planning. By adding this graduate certificate to your resumé, you are preparing to edge out the competition as you work toward your next opportunity.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,The Graduate Certificate in Health Informatics is an 18-21 credit-hour program of study that can be completed in three semesters.,"Online<br><br>

All required classes to earn a degree can be completed online.","- Fall: July 11
- Spring: November 1
- Summer: Not applicable",https://graduate.gsu.edu/program/health-informatics-gcert,https://graduate.gsu.edu/program/health-informatics-gcert,https://graduate.gsu.edu/program/health-informatics-gcert,Please visit the [Health Informatics Graduate Certificate Webpage](https://graduate.gsu.edu/program/health-informatics-gcert/) to view a list of career options for graduates of the Health Informatics Graduate Certificate.,"Online Programs<br><br>

LaToya and Moisés<br>
Enrollment Coaches<br>
404-413-4393<br>
online@gsu.edu<br><br>
Admissions and Curriculum Inquiries<br><br>
Dr. Cedric L. Truss, D.H.A., M.S.H.I.<br>
Program Director and Clinical Assistant Professor<br>
ctruss@gsu.edu<br>
404-413-1222<br><br>
Academic Adviser<br><br>
snhpoaa@gsu.edu<br>
404-413-1000",,Health Informatics Gcert
Health Leadership Graduate Certificate,https://graduate.gsu.edu/program/health-leadership-graduate-certificate,"The Georgia State online Graduate Certificate in Health Leadership program is designed to build healthcare leaders who can successfully lead teams, skillfully negotiate, influence team behaviors and deliver positive results. This program will facilitate the enhancement of communication strategies, managing organizational culture and making effective and strategic decisions. The aim is to provide an opportunity for graduate students and for practicing professionals in healthcare the ability to advance their knowledge and expertise in leadership as they complete their current program of study or while they practice and work.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,18 semester hours,"Online<br><br>

All required classes to earn a certificate can be completed online.","- Fall: July 30
- Spring: November 1
- Summer: Not applicable",https://graduate.gsu.edu/program/health-leadership-graduate-certificate,https://graduate.gsu.edu/program/health-leadership-graduate-certificate,https://graduate.gsu.edu/program/health-leadership-graduate-certificate,"Career options in healthcare with this certificate program includes healthcare executives, medical and health services management, hospital administrators or clinical managers. The certificate is designed to build healthcare leaders to successfully lead teams, skillfully negotiate, influence team behaviors and deliver positive results.","Online Programs<br><br>

LaToya and Moisés<br>
Enrollment Coaches<br>
404-413-4393<br>
online@gsu.edu<br><br>
Director and Clinical Assistant Professor<br><br>
Cedric Truss<br>
ctruss@gsu.edu<br>
404-413-1222",,Health Leadership Graduate Certificate
Health Literacy Grad Cert,https://graduate.gsu.edu/program/health-literacy-grad-cert,"This online graduate certificate strengthens competencies already acquired in fields such as nursing, social work, public health and adult literacy. You will learn the importance of understandable and actionable health information, the challenges of acquiring and changing health-related behavior and the development of programs in the community for addressing low health literacy.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,This program will take 2 to 4 semesters to complete.,"Online<br><br>

All required classes to earn a certificate can be completed online.","- Fall:  July 15
- Spring: Does not admit
- Summer: Does not admit",https://graduate.gsu.edu/program/health-literacy-grad-cert,https://graduate.gsu.edu/program/health-literacy-grad-cert,https://graduate.gsu.edu/program/health-literacy-grad-cert,"This graduate certificate will add a skill set to careers such as nursing, research, public health and social work.","Online Programs<br><br>

LaToya and Moisés<br>
Enrollment Coaches<br>
404-413-4393<br>
online@gsu.edu<br><br>
Admissions and Curriculum Inquiries<br><br>
Iris Feinberg<br>
404-394-8333<br>
ifeinberg2@gsu.edu<br>
DLSRecruitment@gsu.edu<br>
404-413-8040",,Health Literacy Grad Cert
Health Promotion Behavior Natural Sciences Mph,https://graduate.gsu.edu/program/health-promotion-behavior-natural-sciences-mph,"In the face of pressing public health challenges, local and global communities need disease prevention solutions that address the underlying social and behavioral factors impacting public health. The Master in Public Health (MPH) degree with a concentration in Health Promotion and Behavior (HPMB) equips you with the skills, knowledge and experiences to promote health and prevent diseases within populations and communities. This MPH provides a strong foundation for developing expertise in health promotion by specifically emphasizing public health, ecological and behavioral contexts throughout the curriculum.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,42 semester hours,"Atlanta Campus, Online<br><br>A limited selection of MPH HPMB concentration elective courses will be offered fully online each year, allowing students to satisfy all degree, concentration and elective requirements fully online. Students in the online MPH HPMB degree program may occasionally register for in-person or hybrid courses if their desired course or elective is not available online or offered in a preferred semester; though registering for in-person or hybrid courses should be limited (to maintain online student status) and students will be expected to participate in all in-person requirements of the chosen course.","Fall

- February 15 (priority deadline)
- March 15 (regular deadline)
Spring

- October 1 (regular deadline)
The above are standard deadlines. Check our [deadlines page](https://publichealth.gsu.edu/academics-student-life/apply/deadlines/) for updates and extensions.",https://graduate.gsu.edu/program/health-promotion-behavior-natural-sciences-mph,https://graduate.gsu.edu/program/health-promotion-behavior-natural-sciences-mph,https://graduate.gsu.edu/program/health-promotion-behavior-natural-sciences-mph,"Help strengthen the public health system through behavior change and educational outreach. Health promotion specialists plan and evaluate programs and policies which improve public health and public health systems. In health education, you could develop community-wide education initiatives on health topics such as nutrition or create curriculum for training community health workers. The need to provide the public with programs and policies to support good health will result in state and local governments, hospitals and businesses employing a growing number of experts in health behavior and promotion.","Online Programs<br><br>

LaToya and Moisés<br>
Enrollment Coaches<br>
404-413-4393<br>
online@gsu.edu<br><br>
School of Public Health Admissions<br><br>
404-413-1452<br>
sphadmissions@gsu.edu",,Health Promotion Behavior Natural Sciences Mph
Health Sciences Health Informatics Ms,https://graduate.gsu.edu/program/health-sciences-health-informatics-ms,"Inside the trillions of bytes of health care data rest the trends and insights that health care leaders need to move their hospital, clinic, organization or community to the next generation of service and improved outcomes. Be one of those leaders in health informatics with Georgia State's online M.S. in health informatics.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,36 credit hours,"Online<br><br>

All required classes to earn a degree can be completed online.","- Fall: June 30
- Spring: November 1
- Summer: Not applicable",https://graduate.gsu.edu/program/health-sciences-health-informatics-ms,https://graduate.gsu.edu/program/health-sciences-health-informatics-ms,https://graduate.gsu.edu/program/health-sciences-health-informatics-ms,"Career Opportunities:<br/><br/>
- Health Informatics Specialist
- Director of Clinical Informatics
- Director of Nursing Informatics
- Pharmacy Informatics Specialist
- Informatics Nurse Specialist
- Healthcare Analyst
- Data Analyst
- Healthcare Consultant
- Systems Analyst
- Security and Privacy Analyst
- Database Analyst / Administrator
- Information Systems Director
- Applications Analyst
- Implementation Analyst
- Health I.T. Project Manager","Online Programs<br><br>

LaToya and Moisés<br>
Enrollment Coaches<br>
404-413-4393<br>
online@gsu.edu<br><br>
Program Director/Clinical Assistant Professor<br><br>
Dr. Cedric Truss<br>
Phone: 404-413-1451<br>
Email: healthinformatics@gsu.edu",,Health Sciences Health Informatics Ms
